id	submitdate	lastpage	startlanguage	seed	Exp1	DS_knowENV	DS_Beauty	DS_Mystical	DS_Importance	DS_Abundance	DS_Exciting	DS_Inviting	DS_Relaxing	DS_Calm	DS_knowHA	DS_care	Ant_knowENV	Ant_Beauty	Ant_Mystical	Ant_Importance	Ant_Abundance	Ant_Exciting	Ant_Inviting	Ant_Relaxing	Ant_Calm	Ant_knowHA	Ant_care	RT_knowENV	RT_Beauty	RT_Mystical	RT_Importance	RT_Abundance	RT_Exciting	RT_Inviting	RT_Relaxing	RT_Calm	RT_knowHA	RT_care	Mo_knowENV	Mo_Beauty	Mo_Mystical	Mo_Importance	Mo_Abundance	Mo_Exciting	Mo_Inviting	Mo_Relaxing	Mo_Calm	Mo_knowHA	Mo_care	Ant_ExtLH	RT_ExtLH	Mo_ExtLH	DS_ExtLH	EnvRisk_Ant	EnvRisk_RT	EnvRisk_Mo	EnvRisk_DS	SocRisk_Ant	SocRisk_RT	SocRisk_Mo	SocRisk_DS	Country	Gender	Age	LivingArea	Education	PVQ_Bio1	PVQ_Bio2	PVQ_Bio3	PVQ_Bio4	PVQ_Alt1	PVQ_Alt2	PVQ_Alt3	PVQ_Alt4	PVQ_Alt5	PVQ_Hed1	PVQ_Hed2	PVQ_Hed3	PVQ_Ego1	PVQ_Ego2	PVQ_Ego3	PVQ_Ego4	PVQ_Ego5	NEP1	NEP2	NEP3	NEP4	NEP5	NEP6	NEP7	NEP8	NEP9	NEP10	NEP11	NEP12	NEP13	NEP14	NEP15
8	1.1.1980 0:00	7	en	84771633	2	5	7	4	6	5	7	7	7	7	4	5	3	7	4	6	3	7	5	7	7	3	5	4	7	4	7	7	7	7	7	7	4	5	2	4	4	3	4	4	7	7	7	2	5	5	4	2	4	5	5	5	5	5	5		5	United Kingdom	Male	18-35 years	City centre	Post graduate		5	5	4	6	6	6	5	5	6	6	5	4	4	4	4	3	3	3	3	4	4		3	2	4	2	5	1	4	4	4
9	1.1.1980 0:00	7	en	107083167	4	5	4	7	7	3	5	1	1	7	2	3	4	7	7	7	6	7	1	1	7	3	5	5	7	7	7	6	7	7	7	7	3	4	3	7	7	7	1	7	1	1	7	2	5	4	4	1	4	4	4	5	3	4	2	4	3	Finland	Female	18-35 years	Small town/village	Graduate degree, University	6	6	6	6	6	5	6	4	6	5	5	6	1	1	5	4	6	5	2	3	3	5	3	4	1	5	1	5	1	2	1	5
10	1.1.1980 0:00	7	en	1727911324	4	4	6	7	6	6	7	4	6	6	3	4	3	7	6	7	3	5	3	6	6	2	5	3	7	6	7	5	5	5	7	7	2	4	1	5	6	4	1	5	4	5	5	1	3	4	5	2	4	4	5	2	4	5	5	1	5	France	Male	18-35 years	City suburbs	Post graduate	6	6	5	4	4	6	5	6	6	5	4	5	3	3	3	2	4	3	3	4	3	4	4	5	2	5	1	2	1	2	3	5
11	1.1.1980 0:00	7	fi	331000578	3	4	5	6	5	6	7	3	2	5	4	5	3	6	6	4	3	7	3	2	4	3	4	3	5	6	5	4	5	5	3	5	3	4	2	5	7	4	3	6	6	3	6	2	3	2	5	1	5	3	3	3	3	2	2	2	3	Finland	Male	36-65 years	City centre	Graduate degree, University	4	4	5	4	5	5	5	5	5	4	4	4	3	3	3	3	3	4	4	2	3	4	4	2	3	5	3	4	2	3	2	4
12	1.1.1980 0:00	7	en	1143279848	4	2	7	7	5	4	7	1	1	1	2	4	3	7	7	7	1	4	1	4	1	3	4	5	7	7	7	7	7	4	4	4	4	5	2	5	5	4	1	4	1	1	1	2	3	4	4	3	4	4	4	4	4	4	5	3	5	Ecuador	Female	36-65 years	Small town/village	Graduate degree, University	6	6	6	6	6	6	6	6	6	3	5	5	1	1	4	1	3	5	4	5	3	5	1	5	2	5	1	5	1	2	2	5
13	1.1.1980 0:00	7	en	762372880	4	3	5	6	6	5	7	3	3	3	2	3	3	6	6	6	3	6	5	6	6	2	4	4	6	3	6	5	5	6	6	6	4	4	2	5	5	3	3	5	3	3	5	2	3	3	4	2	4	4	4	2	4	5	5	2	5	Finland	Male	18-35 years	City centre	Graduate degree, University	5	6	6	5	5	3	5	4	5	4	4	4	2	3	4	1	5	5	2	4	3	5	5	4	3	5	1	4	2	4	1	5
14	1.1.1980 0:00	7	en	1378963962	4	2	5	6	6	6	6	4	5	6	3	5	2	7	6	7	6	7	4	7	7	2	5	3	7	7	7	7	7	7	7	7	3	5	2	5	6	5	3	5	3	5	5	2	4	5	4	2	4	4	4	3	4	4	4	3	4	Spain	Male	18-35 years	City centre	Post graduate	6	6	6	6	6	6	6	6	6	6	6	5	2	1	3	2	3	4	2	4	2	5	3	4	1	5	1	3	1	3	2	5
15	1.1.1980 0:00	7	en	2095559063	4	3	7	7	7	5	7	5	3	5	2	4	3	7	7	7	4	5	4	7	6	3	4	3	7	7	7	6	7	6	7	7	3	4	2	7	7	7	3	4	3	4	5	2	4	5	5	2	4	4	5	4	4	5	3	4	4	United States	Female	18-35 years	City suburbs	Undergraduate degree, University	6	6	6	5	6	5	6	5	5	5	5	6	3	2	2	2	3	5	2	4	2	4	2	4	3	4	2	4	2	4	2	5
16	1.1.1980 0:00	7	fi	1479416607	3	2	6	6	7	6	7	7	6	6	2	5	3	7	7	7	7	7	7	7	7	2	5	3	7	7	7	7	7	7	7	7	3	5	3	7	7	7	7	7	7	7	7	3	5	5	5	1	5	4	4	5	4	5	4	5	4	Finland	Female	18-35 years	City centre	Graduate degree, University	5	5	5	4	6	5	6	6	5	6	6	6	2	1	2	3	4	4	1	4	1	5	3	5	1	4	1	5	2	5	1	5
17	1.1.1980 0:00	7	fi	138888601	4	4	5	6	7	5	7	6	6	6	4	5	4	6	4	7	3	6	7	5	4	4	5	5	5	3	7	5	4	6	6	6	5	5	2	5	7	1	1	5	6	5	5	2	2	5	5	1	5	4	5	1	4	5	4	1	4	Finland	Male	18-35 years	City suburbs	Graduate degree, University	5	4	6	2	2	3	4	3	5	5	5	6	2	1	2	3	6	4	1	2	2	4	4	5	1	5	2	4	1	4	2	4
